DESCRIPTION,Herstellung
.Smoothfood Brot 48x70g,"Brot, übrige"
"""Apfel Boskoop ""Thurgauer""",Äpfel CH
"""Aprikosen ""ROUGECOT""",Aprikosen
"""Aprikosen ""VANILLACOT""",Aprikosen
"""Aprikosen AAA  ""Walliser""",Aprikosen
"""Artischocken 13er ""CASTEL""","Gemüse, KA"
"""Artischocken CASTEL ""Bretagne""","Gemüse, KA"
"""Basilikum süss """"Horapah"""", 100 g""","Kräuter, diverse"
"""Birnen Celina ""Thurgauer""",Birnen CH
"""Birnen Conference ""Thurgauer""",Birnen CH
"""Birnen Williams ""Thurgauer""",Birnen CH
"""Blattsalat  "" Top of Triemli """,Salat ungeheizt CH
"""Blattsalat  ""Züri""",Salat ungeheizt CH
"""Blattsalat gerüstet ""Surchoix""",Salat ungeheizt CH
"""Bohnen COCO ""GELBE""","Bohnen, übrige"
"""Clementinen ""Rembrandt""","Zitrusfrüchte, übrige"
"""Erdbeeren 10x500gr ""Thurgauer""",Erdbeeren CH
"""Erdbeeren 16x250gr ""Thurgauer""",Erdbeeren CH
"""Grapefruits rot ""Red Premium""","Zitrusfrüchte, übrige"
"""Gurken ungeschält Würfel 10x10mm ""entkernt""",Gurken ungeheizt CH
"""Habaneros Rot   ""welFRIsch""",Peperoni ungeheizt EU
"""JOLLY Melonen ""Zerbinati""",Melonen
"""Kefen  FRISCH    ""ITALIEN""",Grüne Bohnen
"""Kefen  FRISCH  ""Provence""",Grüne Bohnen
"""Lattich ""welFRIsch""",Salat ungeheizt CH
"""MANGO-Mark TK ""F A R """,Mango
"""Mini Lauch  200g  ""welFRisch""","Lauchgemüse, übrige, ungeheizt CH"
"""Netz Melonen  ""Zerbinati""",Melonen
"""Netz Melonen ""Zerbinati""",Melonen
"""Orangen ""blueorange""","Zitrusfrüchte, übrige"
"""Paniermehl 300g GLUTENFREI  ""Schär""","Mehl, glutenfrei"
"""Paniermehl 400g GLUTENFREI  ""Toricella""","Mehl, glutenfrei"
"""Pomelo ""Rotfleischig""","Zitrusfrüchte, übrige"
"""Rahm-Glacé Fraise  4 Lit ""Erdbeer""",Milchspeiseeis
"""Ravioli Spinaci  ""Selezione""",Fertiggerichte mit Teigwaren
"""Rhabarber geschnitten TK ""CULINARIUM""","Blattgemüse, übrige, ungeheizt CH"
"""Rüebli geschält  ""M I T T E L """,Karotten CH
"""Rüebli Triangel  ""Schrägschnitt""",Karotten CH
"""Saccotti ai Funghi Porcini  ""Selezione""",Fertiggerichte mit Teigwaren
